time_stamp,number_of_dead_nodes,number_of_monitored_target,lowest_node_energy,lowest_node_location,avg_energy,MC_0_status,MC_1_status,MC_2_status,MC_0_location,MC_1_location,MC_2_location
1,0,600,10.0,"(21, 988)",0.0,deactivated,deactivated,deactivated,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
101,0,600,9.523,"(491, 571)",0.0,deactivated,deactivated,deactivated,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
201,0,600,9.063,"(491, 571)",0.0002063034442499946,deactivated,deactivated,deactivated,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
301,0,600,8.591,"(491, 571)",0.0002063034442499946,deactivated,deactivated,deactivated,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
401,0,600,8.116,"(491, 571)",0.0002063034442499946,deactivated,deactivated,deactivated,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
501,0,600,7.647,"(491, 571)",0.0002063034442499946,deactivated,deactivated,deactivated,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
601,0,600,7.179,"(491, 571)",0.0002063034442499946,deactivated,deactivated,deactivated,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
701,0,600,6.705,"(491, 571)",0.0002063034442499946,deactivated,deactivated,deactivated,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
801,0,600,6.237,"(491, 571)",0.0002063034442499946,deactivated,deactivated,deactivated,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
901,0,600,5.773,"(491, 571)",0.0002063034442499946,deactivated,deactivated,deactivated,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
1001,0,600,5.302,"(491, 571)",0.0002063034442499946,deactivated,deactivated,deactivated,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
1101,0,600,4.831,"(491, 571)",0.0002063034442499946,deactivated,deactivated,deactivated,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
1201,0,600,4.353,"(491, 571)",0.0002063034442499946,deactivated,deactivated,deactivated,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
