time_stamp,id,starting_point,destination_point,decision_id,charging_time,moving_time
2331,0,"(0.0, 0.0)","(467, 650)",48,201862.07882295677,160.07360806828837
2331,1,"(0.0, 0.0)","(467, 650)",48,0,160.07360806828837
2331,2,"(0.0, 0.0)","(467, 650)",48,0,160.07360806828837
2491,1,"(463.86784739882563, 645.6404728249173)","(431, 709)",36,0,14.275468575822694
2491,2,"(463.86784739882563, 645.6404728249173)","(431, 709)",36,0,14.275468575822694
2505,1,"(433.93663961287706, 703.3390239373531)","(431, 709)",36,0.0,1.2754685758227056
2505,2,"(433.93663961287706, 703.3390239373531)","(431, 709)",36,0.0,1.2754685758227056
2506,1,"(433.93663961287706, 703.3390239373531)","(431, 709)",36,0.0,1.2754685758227056
2506,2,"(433.93663961287706, 703.3390239373531)","(431, 709)",36,0.0,1.2754685758227056
2507,1,"(433.93663961287706, 703.3390239373531)","(431, 709)",36,0.0,1.2754685758227056
2507,2,"(433.93663961287706, 703.3390239373531)","(431, 709)",36,0.0,1.2754685758227056
2508,1,"(433.93663961287706, 703.3390239373531)","(431, 709)",36,0.0,1.2754685758227056
2508,2,"(433.93663961287706, 703.3390239373531)","(431, 709)",36,0.0,1.2754685758227056
2509,1,"(433.93663961287706, 703.3390239373531)","(431, 709)",36,0.0,1.2754685758227056
2509,2,"(433.93663961287706, 703.3390239373531)","(431, 709)",36,0.0,1.2754685758227056
2510,1,"(433.93663961287706, 703.3390239373531)","(431, 709)",36,0.0,1.2754685758227056
2510,2,"(433.93663961287706, 703.3390239373531)","(431, 709)",36,0.0,1.2754685758227056
2511,1,"(433.93663961287706, 703.3390239373531)","(431, 709)",36,0.0,1.2754685758227056
2511,2,"(433.93663961287706, 703.3390239373531)","(431, 709)",36,0.0,1.2754685758227056
2512,1,"(433.93663961287706, 703.3390239373531)","(431, 709)",36,0.0,1.2754685758227056
2512,2,"(433.93663961287706, 703.3390239373531)","(431, 709)",36,0.0,1.2754685758227056
2513,1,"(433.93663961287706, 703.3390239373531)","(431, 709)",36,0.0,1.2754685758227056
2513,2,"(433.93663961287706, 703.3390239373531)","(431, 709)",36,0.0,1.2754685758227056
2514,1,"(433.93663961287706, 703.3390239373531)","(431, 709)",36,0.0,1.2754685758227056
