time_stamp,id,starting_point,destination_point,decision_id,charging_time,moving_time
1277,0,"(0.0, 0.0)","(496, 554)",41,153.37974032731486,148.71879504622137
1277,1,"(0.0, 0.0)","(496, 554)",41,299.80913154630144,148.71879504622137
1277,2,"(0.0, 0.0)","(496, 554)",41,485.9342944028614,148.71879504622137
1276,0,"(0.0, 0.0)","(496, 554)",41,153.53377771570595,148.71879504622137
1276,1,"(0.0, 0.0)","(496, 554)",41,300.4102337911947,148.71879504622137
1276,2,"(0.0, 0.0)","(496, 554)",41,502.6514020566889,148.71879504622137
1578,0,"(496, 554)","(459, 632)",42,542.091507395899,17.266151858477325
1725,1,"(496, 554)","(496, 554)",41,0.0,0.0
1927,2,"(496, 554)","(496, 554)",41,0.0,0.0
2137,0,"(459, 632)","(459, 632)",42,0.0,0.0
2389,0,"(459, 632)","(409, 537)",14,127.4864105367919,21.470910553583888
2389,1,"(496, 554)","(459, 632)",42,226.60958885693694,17.266151858477325
2389,2,"(496, 554)","(409, 537)",14,1368.0811692674708,17.72907216974425
2537,0,"(409, 537)","(409, 537)",14,0.0,0.0
2632,1,"(459, 632)","(459, 632)",42,0.0,0.0
2724,0,"(409, 537)","(455, 463)",32,1542.9019793443263,17.426416728633573
2724,1,"(459, 632)","(455, 463)",32,2106.9486603387213,33.80946613006482
3774,2,"(409, 537)","(409, 537)",14,0.0,0.0
4284,0,"(455, 463)","(455, 463)",32,0.0,0.0
4864,1,"(455, 463)","(455, 463)",32,0.0,0.0
5082,0,"(455, 463)","(459, 632)",42,56.63069668409959,33.80946613006482
5082,1,"(455, 463)","(459, 632)",42,277.97389552621166,33.80946613006482
5082,2,"(409, 537)","(459, 632)",42,338.25913318403803,21.470910553583888
5172,0,"(459, 632)","(459, 632)",42,0.0,0.0
5393,1,"(459, 632)","(459, 632)",42,0.0,0.0
5441,2,"(459, 632)","(459, 632)",42,0.0,0.0
5717,0,"(459, 632)","(455, 463)",32,312.36285527589956,33.80946613006482
5717,1,"(459, 632)","(638, 307)",69,122.61270539270498,74.20673823851847
5717,2,"(459, 632)","(638, 307)",69,301.2489224332079,74.20673823851847
5913,1,"(638, 307)","(638, 307)",69,0.0,0.0
6063,0,"(455, 463)","(455, 463)",32,0.0,0.0
6092,2,"(638, 307)","(638, 307)",69,0.0,0.0
6311,0,"(455, 463)","(459, 632)",42,434.24536414494435,33.80946613006482
6311,1,"(638, 307)","(496, 554)",41,686.4915097348019,56.98175146483302
6311,2,"(638, 307)","(496, 554)",41,875.4431523485667,56.98175146483302
6779,0,"(459, 632)","(459, 632)",42,0.0,0.0
7054,1,"(496, 554)","(496, 554)",41,0.0,0.0
7243,2,"(496, 554)","(496, 554)",41,0.0,0.0
8020,0,"(459, 632)","(638, 307)",69,56.74335414232445,74.20673823851847
8020,1,"(496, 554)","(409, 537)",14,17.536062548311993,17.72907216974425
8020,2,"(496, 554)","(638, 307)",69,92.7768368665934,56.98175146483302
8055,1,"(409, 537)","(459, 632)",42,423.2280623878686,21.470910553583888
8150,0,"(638, 307)","(638, 307)",69,0.0,0.0
8169,2,"(638, 307)","(638, 307)",69,0.0,0.0
8449,0,"(638, 307)","(409, 537)",14,138.53260406896183,64.91255656650722
8449,2,"(638, 307)","(638, 307)",69,0.0,0.0
8450,2,"(638, 307)","(409, 537)",14,21.946649438032253,64.91255656650722
8499,1,"(459, 632)","(409, 537)",14,24.250638358388198,21.470910553583888
8536,2,"(409, 537)","(409, 537)",14,0.0,0.0
8544,1,"(409, 537)","(409, 537)",14,0.0,0.0
8547,1,"(409, 537)","(409, 537)",14,0.0,0.0
8548,1,"(409, 537)","(638, 307)",69,123.29168279638725,64.91255656650722
8548,2,"(409, 537)","(638, 307)",69,163.19284324065717,64.91255656650722
8736,1,"(638, 307)","(638, 307)",69,0.0,0.0
8747,0,"(0.0, 0.0)","(409, 537)",14,0.0,135.00370365289984
8763,0,"(0.0, 0.0)","(638, 307)",69,100.14414346117125,141.60409598595658
8763,1,"(638, 307)","(409, 537)",14,145.36344173653495,64.91255656650722
8776,2,"(638, 307)","(409, 537)",14,228.4926483256988,64.91255656650722
8973,1,"(409, 537)","(409, 537)",14,0.0,0.0
9004,0,"(638, 307)","(638, 307)",69,0.0,0.0
9069,2,"(409, 537)","(409, 537)",14,0.0,0.0
9145,0,"(638, 307)","(496, 554)",41,114.35093747775912,56.98175146483302
9145,1,"(409, 537)","(496, 554)",41,339.5977034246313,17.72907216974425
9145,2,"(409, 537)","(496, 554)",41,120.06780156592495,17.72907216974425
9282,2,"(496, 554)","(496, 554)",41,0.0,0.0
9316,0,"(496, 554)","(496, 554)",41,0.0,0.0
9388,1,"(0.0, 0.0)","(496, 554)",41,0.0,148.71879504622137
9402,0,"(496, 554)","(455, 463)",32,77.7672869162771,19.961963831246663
9402,1,"(0.0, 0.0)","(455, 463)",32,7.950518394815304,129.82973465273662
9402,2,"(496, 554)","(455, 463)",32,23.46463718941903,19.961963831246663
9445,2,"(455, 463)","(455, 463)",32,0.0,0.0
9499,0,"(455, 463)","(455, 463)",32,0.0,0.0
9539,1,"(455, 463)","(455, 463)",32,0.0,0.0
9570,0,"(455, 463)","(496, 554)",41,83.01559422617164,19.961963831246663
9570,1,"(455, 463)","(566, 673)",45,248.21779978353084,47.506210120362155
9570,2,"(455, 463)","(566, 673)",45,103.90198612112137,47.506210120362155
9672,0,"(496, 554)","(496, 554)",41,0.0,0.0
9721,2,"(566, 673)","(566, 673)",45,0.0,0.0
9865,1,"(566, 673)","(566, 673)",45,0.0,0.0
9965,0,"(496, 554)","(455, 463)",32,63.70924563533833,19.961963831246663
9965,1,"(566, 673)","(638, 307)",69,10.850877415072798,74.60294900337385
9965,2,"(566, 673)","(638, 307)",69,12.983916943562818,74.60294900337385
10048,0,"(455, 463)","(496, 554)",41,76.23383074404244,19.961963831246663
10050,1,"(638, 307)","(496, 554)",41,65.61714874533955,56.98175146483302
10052,2,"(638, 307)","(409, 537)",14,12.96645874661155,64.91255656650722
10129,2,"(409, 537)","(496, 554)",41,45.78226232687006,17.72907216974425
10144,0,"(496, 554)","(638, 307)",69,17.68673149183925,56.98175146483302
10172,1,"(496, 554)","(638, 307)",69,33.225743030725674,56.98175146483302
