time_stamp,number_of_dead_nodes,number_of_monitored_target,lowest_node_energy,lowest_node_location,avg_energy,MC_0_status,MC_1_status,MC_2_status,MC_0_location,MC_1_location,MC_2_location
1,0,60,10.0,"(166.98572366958038, 859.438940441578)",0.0,deactivated,deactivated,deactivated,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
101,0,60,9.743,"(467.5888852409021, 650.4750981599752)",0.0,deactivated,deactivated,deactivated,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
201,0,60,9.485,"(467.5888852409021, 650.4750981599752)",0.0006112295356159995,deactivated,deactivated,deactivated,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
301,0,60,9.228,"(467.5888852409021, 650.4750981599752)",0.0006112295356159995,deactivated,deactivated,deactivated,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
401,0,60,8.97,"(467.5888852409021, 650.4750981599752)",0.0006112295356159995,deactivated,deactivated,deactivated,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
501,0,60,8.713,"(467.5888852409021, 650.4750981599752)",0.0006112295356159995,deactivated,deactivated,deactivated,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
601,0,60,8.455,"(467.5888852409021, 650.4750981599752)",0.0006112295356159995,deactivated,deactivated,deactivated,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
701,0,60,8.198,"(467.5888852409021, 650.4750981599752)",0.0006112295356159995,deactivated,deactivated,deactivated,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
801,0,60,7.94,"(467.5888852409021, 650.4750981599752)",0.0006112295356159995,deactivated,deactivated,deactivated,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
901,0,60,7.683,"(467.5888852409021, 650.4750981599752)",0.0006112295356159995,deactivated,deactivated,deactivated,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
1001,0,60,7.425,"(467.5888852409021, 650.4750981599752)",0.0006112295356159995,deactivated,deactivated,deactivated,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
1101,0,60,7.168,"(467.5888852409021, 650.4750981599752)",0.0006112295356159995,deactivated,deactivated,deactivated,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
1201,0,60,6.911,"(467.5888852409021, 650.4750981599752)",0.0006112295356159995,deactivated,deactivated,deactivated,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
1301,0,60,6.653,"(467.5888852409021, 650.4750981599752)",0.0006112295356159995,deactivated,deactivated,deactivated,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
1401,0,60,6.396,"(467.5888852409021, 650.4750981599752)",0.0006112295356159995,deactivated,deactivated,deactivated,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
1501,0,60,6.138,"(467.5888852409021, 650.4750981599752)",0.0006112295356159995,deactivated,deactivated,deactivated,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
1601,0,60,5.881,"(467.5888852409021, 650.4750981599752)",0.0006112295356159995,deactivated,deactivated,deactivated,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
1701,0,60,5.623,"(467.5888852409021, 650.4750981599752)",0.0006112295356159995,deactivated,deactivated,deactivated,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
1801,0,60,5.366,"(467.5888852409021, 650.4750981599752)",0.0006112295356159995,deactivated,deactivated,deactivated,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
1901,0,60,5.108,"(467.5888852409021, 650.4750981599752)",0.0006112295356159995,deactivated,deactivated,deactivated,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
2001,0,60,4.851,"(467.5888852409021, 650.4750981599752)",0.0006112295356159995,deactivated,deactivated,deactivated,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
2101,0,60,4.594,"(467.5888852409021, 650.4750981599752)",0.0006112295356159995,deactivated,deactivated,deactivated,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
2201,0,60,4.336,"(467.5888852409021, 650.4750981599752)",0.0006112295356159995,deactivated,deactivated,deactivated,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
2301,0,60,4.079,"(467.5888852409021, 650.4750981599752)",0.0006112295356159995,deactivated,deactivated,deactivated,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
2401,0,60,3.821,"(467.5888852409021, 650.4750981599752)",0.0006143010408201022,moving,moving,moving,"(201.30114132401786, 280.183601414586)","(201.30114132401786, 280.183601414586)","(201.30114132401786, 280.183601414586)"
2501,0,60,5.43,"(632.2044992854892, 788.1481286371179)",0.0006143010408201021,charging,moving,moving,"(467, 650)","(443.14624200855354, 685.5856235950652)","(443.14624200855354, 685.5856235950652)"
2601,0,60,7.246,"(830.3860298625968, 660.3293469072189)",0.0006143010408201021,moving,deactivated,deactivated,"(353.22109403424975, 491.6353557221887)","(433.93663961287706, 703.3390239373531)","(433.93663961287706, 703.3390239373531)"
2701,0,60,7.077,"(830.3860298625968, 660.3293469072189)",0.0006143010408201021,moving,deactivated,deactivated,"(61.480309506686886, 85.57216526626712)","(433.93663961287706, 703.3390239373531)","(433.93663961287706, 703.3390239373531)"
2801,0,60,6.909,"(830.3860298625968, 660.3293469072189)",0.0006143010408201021,deactivated,deactivated,deactivated,"(0.0, 0.0)","(433.93663961287706, 703.3390239373531)","(433.93663961287706, 703.3390239373531)"
2901,0,60,6.74,"(830.3860298625968, 660.3293469072189)",0.0006143010408201021,deactivated,deactivated,deactivated,"(0.0, 0.0)","(433.93663961287706, 703.3390239373531)","(433.93663961287706, 703.3390239373531)"
3001,0,60,6.572,"(830.3860298625968, 660.3293469072189)",0.0006143010408201021,deactivated,deactivated,deactivated,"(0.0, 0.0)","(433.93663961287706, 703.3390239373531)","(433.93663961287706, 703.3390239373531)"
3101,0,60,6.403,"(830.3860298625968, 660.3293469072189)",0.0006143010408201021,deactivated,deactivated,deactivated,"(0.0, 0.0)","(433.93663961287706, 703.3390239373531)","(433.93663961287706, 703.3390239373531)"
3201,0,60,6.234,"(830.3860298625968, 660.3293469072189)",0.0006143010408201021,deactivated,deactivated,deactivated,"(0.0, 0.0)","(433.93663961287706, 703.3390239373531)","(433.93663961287706, 703.3390239373531)"
3301,0,60,6.066,"(830.3860298625968, 660.3293469072189)",0.0006143010408201021,deactivated,deactivated,deactivated,"(0.0, 0.0)","(433.93663961287706, 703.3390239373531)","(433.93663961287706, 703.3390239373531)"
3401,0,60,5.897,"(830.3860298625968, 660.3293469072189)",0.0006143010408201021,deactivated,deactivated,deactivated,"(0.0, 0.0)","(433.93663961287706, 703.3390239373531)","(433.93663961287706, 703.3390239373531)"
3501,0,60,5.729,"(830.3860298625968, 660.3293469072189)",0.0006143010408201021,deactivated,deactivated,deactivated,"(0.0, 0.0)","(433.93663961287706, 703.3390239373531)","(433.93663961287706, 703.3390239373531)"
3601,0,60,5.56,"(830.3860298625968, 660.3293469072189)",0.0006143010408201021,deactivated,deactivated,deactivated,"(0.0, 0.0)","(433.93663961287706, 703.3390239373531)","(433.93663961287706, 703.3390239373531)"
3701,0,60,5.392,"(830.3860298625968, 660.3293469072189)",0.0006143010408201021,deactivated,deactivated,deactivated,"(0.0, 0.0)","(433.93663961287706, 703.3390239373531)","(433.93663961287706, 703.3390239373531)"
