time_stamp,number_of_dead_nodes,number_of_monitored_target,lowest_node_energy,lowest_node_location,avg_energy,MC_0_status,MC_1_status,MC_2_status,MC_0_location,MC_1_location,MC_2_location
1,0,600,10.0,"(21, 988)",0.0,deactivated,deactivated,deactivated,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
101,0,600,9.523,"(491, 571)",0.0,deactivated,deactivated,deactivated,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
201,0,600,9.063,"(491, 571)",0.0002063034442499946,deactivated,deactivated,deactivated,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
301,0,600,8.591,"(491, 571)",0.0002063034442499946,deactivated,deactivated,deactivated,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
401,0,600,8.116,"(491, 571)",0.0002063034442499946,deactivated,deactivated,deactivated,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
501,0,600,7.647,"(491, 571)",0.0002063034442499946,deactivated,deactivated,deactivated,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
601,0,600,7.179,"(491, 571)",0.0002063034442499946,deactivated,deactivated,deactivated,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
701,0,600,6.705,"(491, 571)",0.0002063034442499946,deactivated,deactivated,deactivated,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
801,0,600,6.237,"(491, 571)",0.0002063034442499946,deactivated,deactivated,deactivated,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
901,0,600,5.773,"(491, 571)",0.0002063034442499946,deactivated,deactivated,deactivated,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
1001,0,600,5.302,"(491, 571)",0.0002063034442499946,deactivated,deactivated,deactivated,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
1101,0,600,4.831,"(491, 571)",0.0002063034442499946,deactivated,deactivated,deactivated,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
1201,0,600,4.353,"(491, 571)",0.0002063034442499946,deactivated,deactivated,deactivated,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
1101,0,600,4.828,"(491, 571)",0.0002063034442499946,deactivated,deactivated,deactivated,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
1201,0,600,4.356,"(491, 571)",0.0002063034442499946,deactivated,deactivated,deactivated,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
1301,0,600,3.888,"(491, 571)",0.00020715410181227357,moving,moving,moving,"(80.04368241620216, 89.40362915035476)","(80.04368241620216, 89.40362915035476)","(80.04368241620216, 89.40362915035476)"
1401,0,600,3.417,"(491, 571)",0.00020470556703431294,moving,moving,moving,"(413.559025817044, 461.91875061016583)","(413.559025817044, 461.91875061016583)","(413.559025817044, 461.91875061016583)"
1501,0,600,3.786,"(459, 640)",0.00020793227622548975,charging,charging,charging,"(496, 554)","(496, 554)","(496, 554)"
1601,0,600,4.091,"(459, 640)",0.00020772869276960718,charging,charging,charging,"(459, 632)","(496, 554)","(496, 554)"
1701,0,600,5.311,"(428, 524)",0.00020772869276960718,charging,charging,charging,"(459, 632)","(496, 554)","(496, 554)"
1801,0,600,5.475,"(428, 524)",0.00020772869276960718,charging,deactivated,charging,"(459, 632)","(496, 554)","(496, 554)"
1901,0,600,5.512,"(464, 450)",0.00020772869276960718,charging,deactivated,charging,"(459, 632)","(496, 554)","(496, 554)"
2001,0,600,5.298,"(464, 450)",0.00020772869276960718,charging,deactivated,deactivated,"(459, 632)","(496, 554)","(496, 554)"
2101,0,600,5.036,"(464, 450)",0.00020772869276960718,charging,deactivated,deactivated,"(459, 632)","(496, 554)","(496, 554)"
2201,0,600,4.719,"(464, 450)",0.00020772869276960718,deactivated,deactivated,deactivated,"(459, 632)","(496, 554)","(496, 554)"
2301,0,600,4.372,"(464, 450)",0.00020772869276960718,deactivated,deactivated,deactivated,"(459, 632)","(496, 554)","(496, 554)"
2401,0,600,3.954,"(428, 524)",0.00020785946551873846,moving,moving,moving,"(433.38394619420575, 583.3294977689914)","(472.4278686220303, 603.6926012832877)","(442.0208638761608, 543.4523527114341)"
2501,0,600,4.128,"(464, 450)",0.00020624156369097909,charging,charging,charging,"(409, 537)","(459, 632)","(409, 537)"
2601,0,600,4.147,"(464, 450)",0.00020624156369097909,deactivated,charging,charging,"(409, 537)","(459, 632)","(409, 537)"
2701,0,600,4.035,"(464, 450)",0.00020624156369097909,deactivated,deactivated,charging,"(409, 537)","(459, 632)","(409, 537)"
2801,0,600,5.612,"(464, 450)",0.00020809373174383413,charging,charging,charging,"(455, 463)","(455, 463)","(409, 537)"
2901,0,600,6.296,"(643, 322)",0.00020809373174383413,charging,charging,charging,"(455, 463)","(455, 463)","(409, 537)"
3001,0,600,6.274,"(643, 322)",0.00020809373174383413,charging,charging,charging,"(455, 463)","(455, 463)","(409, 537)"
3101,0,600,6.249,"(643, 322)",0.00020809373174383413,charging,charging,charging,"(455, 463)","(455, 463)","(409, 537)"
3201,0,600,6.219,"(643, 322)",0.00020809373174383413,charging,charging,charging,"(455, 463)","(455, 463)","(409, 537)"
3301,0,600,6.193,"(643, 322)",0.00020809373174383413,charging,charging,charging,"(455, 463)","(455, 463)","(409, 537)"
3401,0,600,6.166,"(643, 322)",0.00020809373174383413,charging,charging,charging,"(455, 463)","(455, 463)","(409, 537)"
3501,0,600,6.141,"(643, 322)",0.00020809373174383413,charging,charging,charging,"(455, 463)","(455, 463)","(409, 537)"
3601,0,600,6.12,"(643, 322)",0.00020809373174383413,charging,charging,charging,"(455, 463)","(455, 463)","(409, 537)"
3701,0,600,6.097,"(643, 322)",0.00020809373174383413,charging,charging,charging,"(455, 463)","(455, 463)","(409, 537)"
3801,0,600,6.067,"(643, 322)",0.00020809373174383413,charging,charging,deactivated,"(455, 463)","(455, 463)","(409, 537)"
3901,0,600,6.01,"(643, 322)",0.00020809373174383413,charging,charging,deactivated,"(455, 463)","(455, 463)","(409, 537)"
4001,0,600,5.953,"(643, 322)",0.00020809373174383413,charging,charging,deactivated,"(455, 463)","(455, 463)","(409, 537)"
4101,0,600,5.899,"(643, 322)",0.00020809373174383413,charging,charging,deactivated,"(455, 463)","(455, 463)","(409, 537)"
4201,0,600,5.846,"(643, 322)",0.00020809373174383413,charging,charging,deactivated,"(455, 463)","(455, 463)","(409, 537)"
4301,0,600,5.78,"(643, 322)",0.00020809373174383413,deactivated,charging,deactivated,"(455, 463)","(455, 463)","(409, 537)"
4401,0,600,5.676,"(643, 322)",0.00020809373174383413,deactivated,charging,deactivated,"(455, 463)","(455, 463)","(409, 537)"
4501,0,600,5.567,"(643, 322)",0.00020809373174383413,deactivated,charging,deactivated,"(455, 463)","(455, 463)","(409, 537)"
4601,0,600,5.462,"(643, 322)",0.00020809373174383413,deactivated,charging,deactivated,"(455, 463)","(455, 463)","(409, 537)"
4701,0,600,5.352,"(643, 322)",0.00020809373174383413,deactivated,charging,deactivated,"(455, 463)","(455, 463)","(409, 537)"
4801,0,600,5.203,"(459, 640)",0.00020809373174383413,deactivated,charging,deactivated,"(455, 463)","(455, 463)","(409, 537)"
4901,0,600,4.806,"(459, 640)",0.00020809373174383413,deactivated,deactivated,deactivated,"(455, 463)","(455, 463)","(409, 537)"
5001,0,600,4.357,"(459, 640)",0.00020809373174383413,deactivated,deactivated,deactivated,"(455, 463)","(455, 463)","(409, 537)"
5101,0,600,3.91,"(459, 640)",0.000207317083875066,moving,moving,moving,"(457.1295810978801, 552.9748013854295)","(457.1295810978801, 552.9748013854295)","(450.91717895493605, 616.6426400143778)"
5201,0,600,4.71,"(643, 322)",0.00020698986512506602,deactivated,charging,charging,"(459, 632)","(459, 632)","(459, 632)"
5301,0,600,4.597,"(643, 322)",0.00020698986512506602,deactivated,charging,charging,"(459, 632)","(459, 632)","(459, 632)"
5401,0,600,4.487,"(643, 322)",0.00020698986512506602,deactivated,deactivated,charging,"(459, 632)","(459, 632)","(459, 632)"
5501,0,600,4.342,"(643, 322)",0.00020698986512506602,deactivated,deactivated,deactivated,"(459, 632)","(459, 632)","(459, 632)"
5601,0,600,4.184,"(643, 322)",0.00020698986512506602,deactivated,deactivated,deactivated,"(459, 632)","(459, 632)","(459, 632)"
5701,0,600,4.026,"(643, 322)",0.00020698986512506602,deactivated,deactivated,deactivated,"(459, 632)","(459, 632)","(459, 632)"
5801,0,600,4.166,"(643, 322)",0.00020577626164215634,charging,charging,charging,"(455, 463)","(638, 307)","(638, 307)"
5901,0,600,5.339,"(701, 298)",0.00020577626164215634,charging,charging,charging,"(455, 463)","(638, 307)","(638, 307)"
6001,0,600,5.308,"(491, 571)",0.00020577626164215634,charging,deactivated,charging,"(455, 463)","(638, 307)","(638, 307)"
6101,0,600,4.977,"(491, 571)",0.00020577626164215634,deactivated,deactivated,deactivated,"(455, 463)","(638, 307)","(638, 307)"
6201,0,600,4.505,"(491, 571)",0.00020577626164215634,deactivated,deactivated,deactivated,"(455, 463)","(638, 307)","(638, 307)"
6301,0,600,4.045,"(491, 571)",0.00020577626164215634,deactivated,deactivated,deactivated,"(455, 463)","(638, 307)","(638, 307)"
6401,0,600,4.791,"(491, 571)",0.00020737133921568568,charging,charging,charging,"(459, 632)","(496, 554)","(496, 554)"
